vOTU	type	present_samples	total_samples_in_type	prevalence	prevalence_percent	mean_abundance_all_samples	mean_abundance_present_samples	total_abundance
swine-539414	swine	41	1758	0.0233219567690557	2.33219567690557	0.000618106962457338	0.0265032204878049	1.08663204
swine-228658	swine	41	1758	0.0233219567690557	2.33219567690557	0.000513774021615472	0.0220296275609756	0.90321473
swine-246015	swine	41	1758	0.0233219567690557	2.33219567690557	0.000480283441410694	0.0205936168292683	0.84433829
swine-177023	swine	41	1758	0.0233219567690557	2.33219567690557	0.000472093062002275	0.0202424293414634	0.829939603
swine-466100	swine	41	1758	0.0233219567690557	2.33219567690557	0.000461409517633675	0.019784339804878	0.811157932
swine-67719	swine	41	1758	0.0233219567690557	2.33219567690557	0.000442572667804323	0.0189766524390244	0.77804275
swine-201350	swine	41	1758	0.0233219567690557	2.33219567690557	0.000427840654152446	0.0183449724390244	0.75214387
swine-541794	swine	41	1758	0.0233219567690557	2.33219567690557	0.000394101746302617	0.016898313902439	0.69283087
swine-478525	swine	41	1758	0.0233219567690557	2.33219567690557	0.000388106934015927	0.0166412680487805	0.68229199
swine-317386	swine	41	1758	0.0233219567690557	2.33219567690557	0.000373719946530148	0.016024382097561	0.656999666
swine-126716	swine	41	1758	0.0233219567690557	2.33219567690557	0.000361107926052332	0.0154836032682927	0.634827734
swine-299303	swine	41	1758	0.0233219567690557	2.33219567690557	0.0003441798407281	0.01475776	0.60506816
swine-108856	swine	41	1758	0.0233219567690557	2.33219567690557	0.000341803503981797	0.0146558673170732	0.60089056
swine-500720	swine	41	1758	0.0233219567690557	2.33219567690557	0.00032543917519909	0.0139541968292683	0.57212207
swine-245448	swine	41	1758	0.0233219567690557	2.33219567690557	0.000318015188282139	0.0136358707560976	0.559070701
swine-156692	swine	41	1758	0.0233219567690557	2.33219567690557	0.000306027067690557	0.0131218435365854	0.537995585
swine-536238	swine	41	1758	0.0233219567690557	2.33219567690557	0.000304842531285552	0.0130710529268293	0.53591317
swine-325166	swine	41	1758	0.0233219567690557	2.33219567690557	0.000291342829351536	0.0124922120487805	0.512180694
swine-201141	swine	41	1758	0.0233219567690557	2.33219567690557	0.000281731423208191	0.0120800937073171	0.495283842
swine-305741	swine	41	1758	0.0233219567690557	2.33219567690557	0.000269176695108077	0.0115417714634146	0.47321263
swine-209303	swine	41	1758	0.0233219567690557	2.33219567690557	0.000268189695676906	0.0114994508536585	0.471477485
swine-180229	swine	41	1758	0.0233219567690557	2.33219567690557	0.000265778988054608	0.0113960844146341	0.467239461
swine-541416	swine	41	1758	0.0233219567690557	2.33219567690557	0.000265212150170648	0.0113717795121951	0.46624296
swine-247304	swine	41	1758	0.0233219567690557	2.33219567690557	0.000265016837315131	0.0113634048780488	0.4658996
swine-490093	swine	41	1758	0.0233219567690557	2.33219567690557	0.00026075205403868	0.0111805392926829	0.458402111
swine-437229	swine	41	1758	0.0233219567690557	2.33219567690557	0.000260208651877133	0.0111572392682927	0.45744681
swine-159805	swine	41	1758	0.0233219567690557	2.33219567690557	0.000249845432309443	0.0107128846341463	0.43922827
swine-396230	swine	41	1758	0.0233219567690557	2.33219567690557	0.000244948708759954	0.0105029226829268	0.43061983
swine-328952	swine	41	1758	0.0233219567690557	2.33219567690557	0.000243555856086462	0.0104431998780488	0.428171195
swine-307840	swine	41	1758	0.0233219567690557	2.33219567690557	0.000243367827076223	0.0104351375609756	0.42784064
swine-491354	swine	41	1758	0.0233219567690557	2.33219567690557	0.0002416506370876	0.010361507804878	0.42482182
swine-492135	swine	41	1758	0.0233219567690557	2.33219567690557	0.000240843464732651	0.0103268978292683	0.423402811
swine-313709	swine	41	1758	0.0233219567690557	2.33219567690557	0.000238331433447099	0.0102191868292683	0.41898666
swine-449340	swine	41	1758	0.0233219567690557	2.33219567690557	0.000235902295221843	0.0101150301219512	0.414716235
swine-168666	swine	41	1758	0.0233219567690557	2.33219567690557	0.000232479114334471	0.00996825080487805	0.408698283
swine-107127	swine	41	1758	0.0233219567690557	2.33219567690557	0.000231750622866894	0.00993701451219512	0.407417595
swine-97797	swine	41	1758	0.0233219567690557	2.33219567690557	0.000228344189419795	0.00979095329268293	0.401429085
swine-441360	swine	41	1758	0.0233219567690557	2.33219567690557	0.000226275898748578	0.00970226902439024	0.39779303
swine-76378	swine	41	1758	0.0233219567690557	2.33219567690557	0.00021962664960182	0.00941716219512195	0.38610365
swine-310345	swine	41	1758	0.0233219567690557	2.33219567690557	0.000217811885096701	0.00933934863414634	0.382913294
swine-168573	swine	41	1758	0.0233219567690557	2.33219567690557	0.000213794872013652	0.00916710695121951	0.375851385
swine-248712	swine	41	1758	0.0233219567690557	2.33219567690557	0.000210696376564278	0.00903424951219512	0.37040423
swine-500252	swine	41	1758	0.0233219567690557	2.33219567690557	0.000209820843572241	0.00899670836585366	0.368865043
swine-500072	swine	41	1758	0.0233219567690557	2.33219567690557	0.000207193805460751	0.00888406609756098	0.36424671
swine-182856	swine	41	1758	0.0233219567690557	2.33219567690557	0.000204976789533561	0.0087890047804878	0.360349196
swine-479070	swine	41	1758	0.0233219567690557	2.33219567690557	0.000204622034698521	0.00877379358536585	0.359725537
swine-434651	swine	41	1758	0.0233219567690557	2.33219567690557	0.000203373003412969	0.00872023756097561	0.35752974
swine-144376	swine	41	1758	0.0233219567690557	2.33219567690557	0.000201972634812287	0.00866019248780488	0.355067892
swine-134593	swine	41	1758	0.0233219567690557	2.33219567690557	0.000200771955631399	0.00860870970731707	0.352957098
swine-428208	swine	41	1758	0.0233219567690557	2.33219567690557	0.000198023742320819	0.00849087168292683	0.348125739
swine-435744	swine	41	1758	0.0233219567690557	2.33219567690557	0.000197168990898749	0.0084542216097561	0.346623086
swine-277316	swine	41	1758	0.0233219567690557	2.33219567690557	0.000192606962457338	0.00825861073170732	0.33860304
swine-1209	swine	41	1758	0.0233219567690557	2.33219567690557	0.000192580920932878	0.00825749412195122	0.338557259
swine-181253	swine	41	1758	0.0233219567690557	2.33219567690557	0.000185831663253697	0.00796809912195122	0.326692064
swine-235199	swine	41	1758	0.0233219567690557	2.33219567690557	0.000183713457337884	0.00787727458536585	0.322968258
swine-357410	swine	41	1758	0.0233219567690557	2.33219567690557	0.000177246969852105	0.00760000421951219	0.311600173
swine-400427	swine	41	1758	0.0233219567690557	2.33219567690557	0.000176364778156997	0.00756217756097561	0.31004928
swine-536196	swine	41	1758	0.0233219567690557	2.33219567690557	0.000175547393629124	0.00752712970731707	0.308612318
swine-63204	swine	41	1758	0.0233219567690557	2.33219567690557	0.000173928370307167	0.00745770914634146	0.305766075
swine-488109	swine	41	1758	0.0233219567690557	2.33219567690557	0.000171692879408419	0.00736185565853659	0.301836082
swine-17865	swine	41	1758	0.0233219567690557	2.33219567690557	0.000171200648464164	0.00734074975609756	0.30097074
swine-125084	swine	41	1758	0.0233219567690557	2.33219567690557	0.00017085626109215	0.00732598309756098	0.300365307
swine-250210	swine	41	1758	0.0233219567690557	2.33219567690557	0.00016893596814562	0.00724364468292683	0.296989432
swine-203946	swine	41	1758	0.0233219567690557	2.33219567690557	0.000167140168373151	0.00716664429268293	0.293832416
swine-36738	swine	41	1758	0.0233219567690557	2.33219567690557	0.000160887839590444	0.00689855663414634	0.282840822
swine-120703	swine	41	1758	0.0233219567690557	2.33219567690557	0.000159566051763367	0.00684188095121951	0.280517119
swine-512790	swine	41	1758	0.0233219567690557	2.33219567690557	0.000159556905574516	0.0068414887804878	0.28050104
swine-299890	swine	41	1758	0.0233219567690557	2.33219567690557	0.000156925310580205	0.00672865112195122	0.275874696
swine-165183	swine	41	1758	0.0233219567690557	2.33219567690557	0.000155489843003413	0.00666710107317073	0.273351144
swine-446874	swine	41	1758	0.0233219567690557	2.33219567690557	0.000154904311717861	0.00664199463414634	0.27232178
swine-107864	swine	41	1758	0.0233219567690557	2.33219567690557	0.00015226019112628	0.00652861990243902	0.267673416
swine-161268	swine	41	1758	0.0233219567690557	2.33219567690557	0.000149521734926052	0.00641120024390244	0.26285921
swine-491076	swine	41	1758	0.0233219567690557	2.33219567690557	0.000146269238339022	0.00627173953658537	0.257141321
swine-476915	swine	41	1758	0.0233219567690557	2.33219567690557	0.000145499677474403	0.00623874226829268	0.255788433
swine-159695	swine	41	1758	0.0233219567690557	2.33219567690557	0.000141883556313993	0.00608369004878049	0.249431292
swine-540152	swine	41	1758	0.0233219567690557	2.33219567690557	0.000141840535836177	0.00608184541463415	0.249355662
swine-45201	swine	41	1758	0.0233219567690557	2.33219567690557	0.000140820856086462	0.00603812353658537	0.247563065
swine-445693	swine	41	1758	0.0233219567690557	2.33219567690557	0.000136669221274175	0.00586010953658537	0.240264491
swine-516817	swine	41	1758	0.0233219567690557	2.33219567690557	0.000135310278725825	0.00580184073170732	0.23787547
cattle-542289	swine	41	1758	0.0233219567690557	2.33219567690557	0.000134897027303754	0.00578412131707317	0.237148974
swine-319183	swine	41	1758	0.0233219567690557	2.33219567690557	0.000134593401592719	0.00577110243902439	0.2366152
