sample	Continent	Shannon_index	nReads	sum_len	num_seqs	Shannon_residual
CNS0178926	Asia	5.81995	141919642	678758871	707722	0.133920162496277
CNS0178932	Asia	3.93035	132576326	312132457	277559	-0.96471957645134
CNS0178933	Asia	3.95358	175434898	223398525	190737	-0.582171555107654
CNS0178934	Asia	4.05159	125094709	254217983	222719	-0.621615940223771
CNS0178935	Asia	3.98616	152891111	119922434	82631	0.0392296719627377
CNS0178936	Asia	4.58479	135792552	270244243	218927	-0.194688571292104
CNS0178937	Asia	4.52635	140246449	251416780	205896	-0.166220001217535
CNS0178938	Asia	3.57941	169250487	97319102	90131	0.0156195800134185
CNS0178939	Asia	5.64113	412735068	694750690	549388	-0.191881243824959
CNS0178940	Asia	4.52596	189863462	232405505	171141	-0.12655368886118
CNS0178941	Asia	7.09338	163425472	1110541330	1337468	0.929156840031202
CNS0178942	Asia	7.10079	153505880	1107449640	1346980	0.943622561095529
